Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,5.220000,5.280000,5.120000,5.140000,4.658174,1322800
2021-01-05,5.190000,5.190000,5.050000,5.150000,4.667236,1082400
2021-01-06,5.140000,5.230000,5.080000,5.180000,4.694425,1287500
2021-01-07,5.210000,5.650000,5.190000,5.650000,5.120367,2656600
2021-01-08,5.650000,5.840000,5.580000,5.810000,5.265368,2613400
2021-01-11,5.850000,5.930000,5.730000,5.770000,5.229118,1440100
2021-01-12,5.820000,5.940000,5.740000,5.880000,5.328806,1450200
2021-01-13,5.870000,5.870000,5.570000,5.620000,5.093179,2108500
2021-01-14,5.650000,5.700000,5.550000,5.600000,5.075054,1332600
2021-01-15,5.600000,5.690000,5.540000,5.610000,5.084116,2350600
2021-01-18,5.630000,5.890000,5.610000,5.710000,5.174742,1391600
2021-01-19,5.740000,5.790000,5.560000,5.710000,5.174742,1499000
2021-01-20,5.740000,5.940000,5.710000,5.730000,5.192867,1394300
2021-01-21,6.110000,6.110000,5.660000,5.790000,5.247243,3634300
2021-01-22,5.750000,5.780000,5.640000,5.710000,5.174742,1282500
2021-01-26,5.660000,5.880000,5.660000,5.790000,5.247243,1280800
2021-01-27,5.820000,5.850000,5.560000,5.560000,5.038803,1825400
2021-01-28,5.540000,5.650000,5.000000,5.540000,5.020678,3755100
2021-01-29,5.520000,5.610000,5.420000,5.460000,4.948177,1627900
2021-02-01,5.510000,5.670000,5.470000,5.630000,5.102242,1613100
2021-02-02,5.630000,5.730000,5.480000,5.520000,5.002553,1626900
2021-02-03,5.500000,5.650000,5.500000,5.540000,5.020678,812200
2021-02-04,5.560000,5.620000,5.490000,5.510000,4.993490,552300
2021-02-05,5.530000,5.630000,5.510000,5.600000,5.075054,1815900
2021-02-08,5.620000,5.690000,5.450000,5.530000,5.011616,1860800
2021-02-09,5.520000,5.570000,5.400000,5.440000,4.930052,1460300
2021-02-10,5.450000,5.570000,5.390000,5.490000,4.975365,2005300
2021-02-11,5.490000,5.600000,5.460000,5.520000,5.002553,1409700
2021-02-12,5.540000,5.540000,5.460000,5.500000,4.984427,843400
2021-02-17,5.520000,5.610000,5.460000,5.540000,5.020678,1274600
2021-02-18,5.540000,5.700000,5.460000,5.670000,5.138492,2353000
2021-02-19,5.670000,5.860000,5.580000,5.830000,5.283494,2612400
2021-02-22,5.750000,6.050000,5.670000,5.960000,5.401307,4167700
2021-02-23,5.970000,6.090000,5.880000,6.020000,5.455683,2206900
2021-02-24,6.040000,6.150000,5.890000,6.100000,5.528183,1834800
2021-02-25,6.110000,6.200000,5.790000,5.850000,5.301619,1637000
2021-02-26,5.850000,6.060000,5.800000,5.880000,5.328806,2524900
2021-03-01,6.160000,6.250000,5.930000,6.100000,5.528183,3879300
2021-03-02,6.100000,6.210000,5.960000,5.990000,5.428494,3579600
2021-03-03,6.000000,6.120000,5.890000,6.000000,5.437557,2480300
2021-03-04,5.980000,6.210000,5.920000,5.990000,5.428494,2152300
2021-03-05,6.020000,6.200000,5.960000,6.150000,5.573497,2231800
2021-03-08,6.150000,6.150000,5.830000,5.900000,5.346932,2837300
2021-03-09,5.910000,6.210000,5.890000,6.080000,5.510058,2284200
2021-03-10,6.100000,6.150000,5.820000,5.860000,5.310681,2549500
2021-03-11,5.910000,5.920000,5.570000,5.760000,5.220056,3627800
2021-03-12,5.810000,5.920000,5.720000,5.850000,5.301619,2322200
2021-03-15,5.840000,5.850000,5.620000,5.670000,5.138492,2353600
2021-03-16,5.680000,5.950000,5.660000,5.910000,5.355994,2271700
2021-03-17,5.810000,6.000000,5.810000,5.920000,5.365057,2168700
2021-03-18,5.920000,5.920000,5.700000,5.710000,5.174742,2151700
2021-03-19,5.720000,5.790000,5.620000,5.660000,5.129429,2130200
2021-03-22,5.640000,5.790000,5.400000,5.690000,5.156617,3776500
2021-03-23,5.620000,5.770000,5.600000,5.660000,5.129429,1548900
2021-03-24,5.640000,5.900000,5.620000,5.720000,5.183805,2127700
2021-03-25,5.750000,5.750000,5.630000,5.710000,5.174742,1177500
2021-03-26,5.720000,5.780000,5.620000,5.630000,5.102242,2442200
2021-03-29,5.640000,5.720000,5.600000,5.680000,5.147554,1211700
2021-03-30,5.680000,5.710000,5.600000,5.620000,5.093179,1559900
2021-03-31,5.630000,5.650000,5.460000,5.480000,4.966303,2999100
2021-04-01,5.490000,5.670000,5.430000,5.580000,5.056928,2306600
2021-04-05,5.640000,5.650000,5.480000,5.590000,5.065991,1511100
2021-04-06,5.600000,5.710000,5.560000,5.700000,5.165679,1650500
2021-04-07,5.710000,5.760000,5.650000,5.740000,5.201930,1356500
2021-04-08,5.740000,5.850000,5.710000,5.800000,5.256306,1371600
2021-04-09,5.790000,5.930000,5.770000,5.880000,5.328806,1661900
2021-04-12,5.870000,5.970000,5.870000,5.940000,5.383182,1637900
2021-04-13,5.940000,5.960000,5.860000,5.940000,5.383182,1398100
2021-04-14,5.930000,5.970000,5.840000,5.900000,5.346932,883500
2021-04-15,5.900000,5.960000,5.870000,5.960000,5.401307,1142100
2021-04-16,5.980000,6.060000,5.830000,5.850000,5.301619,1664000
2021-04-19,5.860000,5.970000,5.820000,5.930000,5.374119,1619300
2021-04-20,5.920000,6.030000,5.900000,5.990000,5.428494,1806800
2021-04-22,5.990000,6.020000,5.820000,5.830000,5.283494,1425300
2021-04-23,5.860000,5.860000,5.720000,5.770000,5.229118,1669800
2021-04-26,5.820000,5.820000,5.700000,5.760000,5.220056,853000
2021-04-27,5.770000,5.850000,5.740000,5.790000,5.247243,1573500
2021-04-28,5.790000,5.820000,5.560000,5.580000,5.056928,1669500
2021-04-29,5.600000,5.700000,5.560000,5.570000,5.047865,1805800
2021-04-30,5.620000,5.660000,5.500000,5.510000,4.993490,1882200
2021-05-03,5.600000,5.600000,5.380000,5.470000,4.957240,1854300
2021-05-04,5.470000,5.530000,5.410000,5.420000,4.911927,1320100
2021-05-05,5.390000,5.550000,5.390000,5.520000,5.002553,1092600
2021-05-06,5.520000,5.520000,5.380000,5.520000,5.002553,1499400
2021-05-07,5.540000,5.550000,5.440000,5.510000,4.993490,964100
2021-05-10,5.530000,5.570000,5.460000,5.520000,5.002553,1502700
2021-05-11,5.520000,5.570000,5.440000,5.570000,5.047865,1431200
2021-05-12,5.560000,5.570000,5.470000,5.500000,4.984427,994300
2021-05-13,5.460000,5.520000,5.290000,5.340000,4.839427,3928200
2021-05-14,5.360000,5.380000,5.200000,5.260000,4.766926,1571600
2021-05-17,5.270000,5.310000,5.250000,5.270000,4.775988,762900
2021-05-18,5.300000,5.300000,5.230000,5.250000,4.757863,862500
2021-05-19,5.230000,5.290000,5.180000,5.250000,4.757863,1379600
2021-05-20,5.260000,5.260000,5.120000,5.120000,4.640049,1202900
2021-05-21,5.130000,5.150000,5.060000,5.120000,4.640049,1228000
2021-05-24,5.130000,5.180000,5.070000,5.140000,4.658174,1137600
2021-05-25,5.140000,5.200000,5.070000,5.110000,4.630986,1421100
2021-05-26,5.110000,5.140000,5.050000,5.070000,4.594737,1614000
2021-05-27,5.090000,5.240000,5.090000,5.210000,4.721613,2813100
2021-05-28,5.210000,5.260000,5.050000,5.140000,4.658174,2406400
2021-05-31,5.150000,5.160000,5.090000,5.140000,4.658174,1110700
2021-06-01,5.150000,5.160000,5.020000,5.040000,4.567548,3202300
2021-06-02,5.060000,5.100000,4.960000,4.980000,4.513173,3362400
2021-06-04,4.990000,5.060000,4.940000,4.970000,4.504110,4078500
2021-06-07,4.980000,5.090000,4.910000,5.070000,4.594737,3281100
2021-06-08,5.070000,5.090000,4.910000,4.930000,4.467860,2227100
2021-06-09,4.970000,5.080000,4.920000,5.030000,4.558486,2782900
2021-06-10,5.020000,5.060000,4.990000,5.000000,4.531298,1683800
2021-06-11,5.040000,5.100000,5.010000,5.070000,4.594737,1741400
2021-06-14,5.070000,5.110000,4.940000,4.970000,4.504110,3161800
2021-06-15,4.990000,5.000000,4.950000,4.970000,4.504110,1924200
2021-06-16,4.950000,4.990000,4.900000,4.940000,4.476923,3030200
2021-06-17,4.950000,4.960000,4.880000,4.890000,4.431609,2142700
2021-06-18,4.910000,4.990000,4.860000,4.980000,4.513173,3142800
2021-06-21,4.980000,5.100000,4.930000,5.060000,4.585673,2770500
2021-06-22,5.050000,5.090000,5.010000,5.050000,4.576611,1410900
2021-06-23,5.040000,5.070000,4.940000,4.960000,4.495048,1290500
2021-06-24,4.960000,5.080000,4.960000,5.050000,4.576611,1907900
2021-06-25,5.070000,5.110000,4.940000,4.970000,4.504110,1519100
2021-06-28,5.000000,5.070000,4.970000,5.040000,4.567548,1396900
2021-06-29,5.060000,5.070000,5.000000,5.020000,4.549423,1020200
2021-06-30,5.020000,5.060000,4.950000,5.010000,4.540360,1875100
2021-07-01,5.020000,5.110000,5.000000,5.030000,4.558486,1966400
2021-07-02,5.070000,5.110000,5.030000,5.100000,4.621924,1370500
2021-07-05,5.090000,5.150000,5.090000,5.150000,4.667236,894800
2021-07-06,5.150000,5.160000,5.050000,5.100000,4.621924,1300400
2021-07-07,5.120000,5.240000,5.060000,5.230000,4.739738,2013100
2021-07-08,5.230000,5.230000,5.090000,5.100000,4.621924,1803500
2021-07-12,5.130000,5.200000,5.070000,5.170000,4.685361,1273600
2021-07-13,5.150000,5.180000,5.070000,5.130000,4.649111,1179700
2021-07-14,5.140000,5.180000,5.040000,5.070000,4.594737,1587200
2021-07-15,5.070000,5.110000,4.990000,5.010000,4.540360,993800
2021-07-16,5.050000,5.060000,4.960000,4.970000,4.504110,1212300
2021-07-19,4.980000,4.990000,4.890000,4.900000,4.440672,1647700
2021-07-20,4.930000,5.010000,4.900000,4.970000,4.504110,1033200
2021-07-21,5.010000,5.010000,4.890000,4.920000,4.458797,1035000
2021-07-22,4.920000,4.940000,4.900000,4.910000,4.449735,817500
2021-07-23,4.910000,4.930000,4.870000,4.920000,4.458797,1054400
2021-07-26,4.900000,5.000000,4.880000,5.000000,4.531298,1269400
2021-07-27,4.990000,4.990000,4.830000,4.890000,4.431609,1135400
2021-07-28,4.900000,4.930000,4.840000,4.850000,4.395359,953000
2021-07-29,4.900000,4.900000,4.820000,4.830000,4.377234,911900
2021-07-30,4.830000,4.860000,4.680000,4.680000,4.241295,1171700
2021-08-02,4.720000,4.760000,4.710000,4.710000,4.268482,970300
2021-08-03,4.720000,4.720000,4.620000,4.710000,4.268482,489400
2021-08-04,4.700000,4.810000,4.670000,4.800000,4.350047,920100
2021-08-05,4.810000,4.810000,4.690000,4.710000,4.268482,584300
2021-08-06,4.710000,4.730000,4.650000,4.680000,4.241295,726500
2021-08-09,4.700000,4.830000,4.670000,4.750000,4.304733,1123200
2021-08-10,4.780000,4.840000,4.760000,4.770000,4.322858,932800
2021-08-11,4.790000,4.800000,4.730000,4.730000,4.286607,577800
2021-08-12,4.800000,4.830000,4.680000,4.690000,4.250357,869700
2021-08-13,4.690000,4.820000,4.670000,4.790000,4.340984,907900
2021-08-16,4.800000,4.820000,4.740000,4.820000,4.368171,750800
2021-08-17,4.770000,4.840000,4.700000,4.760000,4.313796,1239800
2021-08-18,4.760000,4.770000,4.580000,4.590000,4.159731,1033700
2021-08-19,4.560000,4.570000,4.450000,4.540000,4.114419,1031200
2021-08-20,4.570000,4.730000,4.520000,4.710000,4.268482,658400
2021-08-23,4.700000,4.830000,4.680000,4.800000,4.350047,674700
2021-08-24,4.800000,4.880000,4.770000,4.870000,4.413485,1296500
2021-08-25,4.860000,5.080000,4.840000,5.060000,4.585673,1421800
2021-08-26,5.070000,5.090000,4.980000,5.000000,4.531298,763500
2021-08-27,5.010000,5.060000,4.980000,5.030000,4.558486,560300
2021-08-30,5.030000,5.050000,4.970000,5.030000,4.558486,574100
2021-08-31,5.000000,5.060000,4.960000,5.010000,4.540360,748600
2021-09-01,5.010000,5.010000,4.910000,4.930000,4.467860,734400
2021-09-02,4.940000,4.960000,4.780000,4.800000,4.350047,561500
2021-09-03,4.720000,4.850000,4.720000,4.830000,4.377234,493700
2021-09-06,4.870000,4.890000,4.740000,4.780000,4.331921,341600
2021-09-08,4.730000,4.870000,4.730000,4.760000,4.313796,835300
2021-09-09,4.820000,4.920000,4.780000,4.890000,4.431609,1370000
2021-09-10,4.950000,4.950000,4.790000,4.790000,4.340984,648200
2021-09-13,4.880000,4.880000,4.750000,4.820000,4.368171,567700
2021-09-14,4.820000,4.910000,4.820000,4.850000,4.395359,611400
2021-09-15,4.820000,4.870000,4.720000,4.750000,4.304733,472700
2021-09-16,4.750000,4.760000,4.510000,4.530000,4.105357,1177000
2021-09-17,4.530000,4.530000,4.360000,4.410000,3.996605,1341300
2021-09-20,4.420000,4.420000,4.240000,4.300000,3.896917,994300
2021-09-21,4.300000,4.370000,4.220000,4.250000,3.851603,1128000
2021-09-22,4.350000,4.380000,4.290000,4.290000,3.887854,1233800
2021-09-23,4.290000,4.480000,4.290000,4.430000,4.014730,955900
2021-09-24,4.500000,4.520000,4.380000,4.440000,4.023793,1050400
2021-09-27,4.520000,4.520000,4.400000,4.440000,4.023793,493700
2021-09-28,4.440000,4.450000,4.350000,4.360000,3.951292,465500
2021-09-29,4.360000,4.480000,4.360000,4.410000,3.996605,609600
2021-09-30,4.410000,4.640000,4.410000,4.560000,4.132544,1029400
2021-10-01,4.520000,4.570000,4.450000,4.480000,4.060043,700200
2021-10-04,4.490000,4.490000,4.410000,4.410000,3.996605,580000
2021-10-05,4.450000,4.460000,4.370000,4.390000,3.978479,699700
2021-10-06,4.360000,4.420000,4.290000,4.310000,3.905979,950200
2021-10-07,4.310000,4.350000,4.200000,4.210000,3.815353,1104800
2021-10-08,4.260000,4.260000,4.200000,4.200000,3.806290,1658000
2021-10-11,4.200000,4.330000,4.140000,4.270000,3.869728,1170500
2021-10-13,4.260000,4.370000,4.210000,4.330000,3.924104,687800
2021-10-14,4.350000,4.360000,4.270000,4.280000,3.878791,394100
2021-10-15,4.280000,4.430000,4.280000,4.340000,3.933167,482700
2021-10-18,4.340000,4.340000,4.230000,4.320000,3.915041,682200
2021-10-19,4.320000,4.320000,4.170000,4.220000,3.824415,823100
2021-10-20,4.260000,4.260000,4.150000,4.220000,3.824415,754300
2021-10-21,4.230000,4.230000,4.100000,4.200000,3.806290,1008100
2021-10-22,4.140000,4.610000,4.140000,4.540000,4.114419,2617500
2021-10-25,4.550000,4.580000,4.460000,4.570000,4.141606,632600
2021-10-26,4.600000,4.650000,4.480000,4.500000,4.078167,967700
2021-10-27,4.520000,4.540000,4.400000,4.430000,4.014730,952400
2021-10-28,4.430000,4.580000,4.390000,4.500000,4.078167,553100
2021-10-29,4.500000,4.580000,4.330000,4.340000,3.933167,597900
2021-11-01,4.310000,4.310000,4.180000,4.200000,3.871583,964600
2021-11-03,4.240000,4.270000,4.180000,4.250000,3.917674,685500
2021-11-04,4.210000,4.240000,4.150000,4.230000,3.899237,764400
2021-11-05,4.230000,4.310000,4.190000,4.260000,3.926892,597000
2021-11-08,4.270000,4.330000,4.200000,4.260000,3.926892,273800
2021-11-09,4.260000,4.270000,4.180000,4.210000,3.880801,431300
2021-11-10,4.200000,4.270000,4.170000,4.220000,3.890019,652400
2021-11-11,4.250000,4.400000,4.210000,4.350000,4.009854,768400
2021-11-12,4.350000,4.470000,4.310000,4.350000,4.009854,521100
2021-11-16,4.350000,4.380000,4.290000,4.300000,3.963765,575200
