Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Caloundra,54,1665669600,2022-10-14T00:00:00,-26.84642,153.15474,1.263,2.020,12.500,7.273,21.10,99.80,-99.90,-99.90
Caloundra,54,1665671400,2022-10-14T00:30:00,-26.84656,153.15480,1.271,1.970,13.330,6.250,21.10,94.20,-99.90,-99.90
Caloundra,54,1665673200,2022-10-14T01:00:00,-26.84624,153.15484,1.233,2.050,14.290,6.154,21.10,102.70,-99.90,-99.90
Caloundra,54,1665675000,2022-10-14T01:30:00,-26.84590,153.15512,1.343,2.030,13.330,6.061,21.15,87.20,-99.90,-99.90
Caloundra,54,1665676800,2022-10-14T02:00:00,-26.84589,153.15508,1.321,2.130,12.500,6.780,21.55,101.30,-99.90,-99.90
Caloundra,54,1665678600,2022-10-14T02:30:00,-26.84585,153.15531,1.475,2.940,13.330,6.250,20.85,98.40,-99.90,-99.90
Caloundra,54,1665680400,2022-10-14T03:00:00,-26.84585,153.15536,1.471,2.590,13.330,6.452,20.80,97.00,-99.90,-99.90
Caloundra,54,1665682200,2022-10-14T03:30:00,-26.84584,153.15534,1.507,2.610,14.290,6.250,20.75,92.80,-99.90,-99.90
Caloundra,54,1665684000,2022-10-14T04:00:00,-26.84584,153.15531,1.482,2.730,13.330,6.780,20.75,94.20,-99.90,-99.90
Caloundra,54,1665685800,2022-10-14T04:30:00,-26.84583,153.15527,1.444,2.340,13.330,6.250,20.75,104.10,-99.90,-99.90
Caloundra,54,1665687600,2022-10-14T05:00:00,-26.84583,153.15527,1.468,2.360,13.330,6.452,20.75,101.30,-99.90,-99.90
Caloundra,54,1665689400,2022-10-14T05:30:00,-26.84582,153.15521,1.449,2.570,12.500,6.349,20.70,102.70,-99.90,-99.90
Caloundra,54,1665691200,2022-10-14T06:00:00,-26.84584,153.15516,1.497,2.120,14.290,6.452,20.75,99.80,-99.90,-99.90
Caloundra,54,1665693000,2022-10-14T06:30:00,-26.84585,153.15512,1.497,2.530,14.290,6.780,20.75,104.10,-99.90,-99.90
Caloundra,54,1665694800,2022-10-14T07:00:00,-26.84593,153.15499,1.545,2.700,12.500,6.667,20.85,99.80,-99.90,-99.90
Caloundra,54,1665696600,2022-10-14T07:30:00,-26.84646,153.15478,1.408,2.590,13.330,6.897,20.85,104.10,-99.90,-99.90
Caloundra,54,1665698400,2022-10-14T08:00:00,-26.84669,153.15489,1.286,1.970,14.290,6.557,20.95,95.60,-99.90,-99.90
Caloundra,54,1665700200,2022-10-14T08:30:00,-26.84676,153.15497,1.303,2.240,13.330,6.452,21.15,98.40,-99.90,-99.90
Caloundra,54,1665702000,2022-10-14T09:00:00,-26.84680,153.15499,1.263,1.870,13.330,6.780,21.10,98.40,-99.90,-99.90
Caloundra,54,1665703800,2022-10-14T09:30:00,-26.84682,153.15504,1.362,2.190,14.290,6.667,21.15,99.80,-99.90,-99.90
Caloundra,54,1665705600,2022-10-14T10:00:00,-26.84682,153.15504,1.307,2.460,13.330,7.018,21.10,99.80,-99.90,-99.90
Caloundra,54,1665707400,2022-10-14T10:30:00,-26.84682,153.15499,1.349,2.280,13.330,7.143,21.25,98.40,-99.90,-99.90
Caloundra,54,1665709200,2022-10-14T11:00:00,-26.84681,153.15499,1.324,2.520,13.330,7.143,21.30,94.20,-99.90,-99.90
Caloundra,54,1665711000,2022-10-14T11:30:00,-26.84682,153.15501,1.206,2.240,13.330,7.143,21.30,92.80,-99.90,-99.90
Caloundra,54,1665712800,2022-10-14T12:00:00,-26.84683,153.15499,1.234,1.780,14.290,6.667,21.40,99.80,-99.90,-99.90
Caloundra,54,1665714600,2022-10-14T12:30:00,-26.84685,153.15510,1.310,2.130,13.330,6.154,21.40,99.80,-99.90,-99.90
Caloundra,54,1665716400,2022-10-14T13:00:00,-26.84686,153.15514,1.207,2.260,14.290,6.557,21.40,104.10,-99.90,-99.90
Caloundra,54,1665718200,2022-10-14T13:30:00,-26.84685,153.15527,1.360,1.940,13.330,6.250,21.35,95.60,-99.90,-99.90
Caloundra,54,1665720000,2022-10-14T14:00:00,-26.84680,153.15542,1.298,2.100,14.290,6.667,21.40,104.10,-99.90,-99.90
Caloundra,54,1665721800,2022-10-14T14:30:00,-26.84647,153.15568,1.234,1.960,13.330,6.452,21.40,98.40,-99.90,-99.90
Caloundra,54,1665723600,2022-10-14T15:00:00,-26.84603,153.15549,1.312,2.170,14.290,5.634,21.35,101.30,-99.90,-99.90
Caloundra,54,1665725400,2022-10-14T15:30:00,-26.84592,153.15544,1.435,2.220,14.290,5.714,21.30,98.40,-99.90,-99.90
Caloundra,54,1665727200,2022-10-14T16:00:00,-26.84589,153.15538,1.320,2.180,14.290,6.154,21.20,101.30,-99.90,-99.90
Caloundra,54,1665729000,2022-10-14T16:30:00,-26.84585,153.15531,1.438,2.340,14.290,5.970,21.30,99.80,-99.90,-99.90
Caloundra,54,1665730800,2022-10-14T17:00:00,-26.84587,153.15534,1.359,2.110,14.290,6.061,21.25,98.40,-99.90,-99.90
Caloundra,54,1665732600,2022-10-14T17:30:00,-26.84587,153.15536,1.368,2.460,14.290,5.634,21.10,94.20,-99.90,-99.90
Caloundra,54,1665736200,2022-10-14T18:30:00,-26.84588,153.15527,1.361,2.160,13.330,5.882,21.15,99.80,-99.90,-99.90
Caloundra,54,1665738000,2022-10-14T19:00:00,-26.84585,153.15527,1.234,2.030,13.330,5.797,21.15,108.30,-99.90,-99.90
Caloundra,54,1665739800,2022-10-14T19:30:00,-26.84587,153.15516,1.286,2.220,12.500,5.405,21.15,102.70,-99.90,-99.90
Caloundra,54,1665741600,2022-10-14T20:00:00,-26.84589,153.15510,1.297,2.330,13.330,5.479,21.15,104.10,-99.90,-99.90
Caloundra,54,1665743400,2022-10-14T20:30:00,-26.84594,153.15510,1.268,2.030,13.330,5.797,21.15,105.50,-99.90,-99.90
Caloundra,54,1665745200,2022-10-14T21:00:00,-26.84594,153.15525,1.258,2.050,14.290,5.882,21.10,98.40,-99.90,-99.90
Caloundra,54,1665747000,2022-10-14T21:30:00,-26.84611,153.15510,1.221,2.100,13.330,5.970,21.10,102.70,-99.90,-99.90
Caloundra,54,1665748800,2022-10-14T22:00:00,-26.84646,153.15478,1.127,1.680,13.330,6.250,21.10,99.80,-99.90,-99.90
Caloundra,54,1665750600,2022-10-14T22:30:00,-26.84669,153.15491,1.175,1.900,13.330,6.154,21.10,99.80,-99.90,-99.90
Caloundra,54,1665752400,2022-10-14T23:00:00,-26.84676,153.15504,1.235,2.080,13.330,6.349,21.10,97.00,-99.90,-99.90
Caloundra,54,1665754200,2022-10-14T23:30:00,-26.84680,153.15514,1.129,1.860,13.330,6.897,21.10,98.40,-99.90,-99.90
